Fecha_Hora,Demanda_kW,Factor_Potencia
2024-01-02 06:15:00,32.23,0.774
2024-01-02 06:30:00,34.52,0.87
2024-01-02 06:45:00,31.72,0.803
2024-01-02 07:00:00,34.78,0.778
2024-01-02 07:15:00,38.08,0.788
2024-01-02 07:30:00,36.18,0.755
2024-01-02 07:45:00,38.19,0.764
2024-01-02 08:00:00,40.53,0.909
2024-01-02 08:15:00,40.2,0.937
2024-01-02 08:30:00,39.29,0.895
2024-01-02 08:45:00,41.65,0.913
2024-01-02 09:00:00,40.55,0.931
2024-01-02 09:15:00,42.74,0.886
2024-01-02 09:30:00,41.17,0.915
2024-01-02 09:45:00,44.43,0.885
2024-01-02 10:00:00,41.49,0.914
2024-01-02 10:15:00,42.04,0.872
2024-01-02 10:30:00,43.37,0.948
2024-01-02 10:45:00,40.58,0.858
2024-01-02 11:00:00,42.17,0.901
2024-01-02 11:15:00,43.2,0.879
2024-01-02 11:30:00,39.22,0.91
2024-01-02 11:45:00,41.04,0.893
2024-01-02 12:00:00,38.63,0.881
2024-01-02 12:15:00,39.23,0.875
2024-01-02 12:30:00,36.91,0.868
2024-01-02 12:45:00,36.81,0.928
2024-01-02 13:00:00,40.62,0.872
2024-01-02 13:15:00,40.75,0.927
2024-01-02 13:30:00,41.07,0.899
2024-01-02 13:45:00,41.56,0.857
2024-01-02 14:00:00,40.62,0.867
2024-01-02 14:15:00,42.05,0.939
2024-01-02 14:30:00,42.38,0.91
2024-01-02 14:45:00,41.31,0.868
2024-01-02 15:00:00,44.74,0.92
2024-01-02 15:15:00,43.06,0.932
2024-01-02 15:30:00,40.97,0.883
2024-01-02 15:45:00,43.3,0.906
2024-01-02 16:00:00,41.13,0.879
2024-01-02 16:15:00,43.22,0.858
2024-01-02 16:30:00,43.48,0.89
2024-01-02 16:45:00,40.73,0.925
2024-01-02 17:00:00,42.66,0.896
2024-01-02 17:15:00,41.64,0.891
2024-01-02 17:30:00,41.77,0.887
2024-01-02 17:45:00,42.68,0.896
2024-01-02 18:00:00,37.02,0.798
2024-01-02 18:15:00,35.18,0.842
2024-01-02 18:30:00,33.77,0.76
2024-01-02 18:45:00,32.58,0.871
2024-01-02 19:00:00,31.02,0.776
2024-01-02 19:15:00,31.43,0.845
2024-01-02 19:30:00,31.39,0.817
2024-01-02 19:45:00,31.94,0.866
2024-01-02 20:00:00,31.21,0.874
2024-01-02 20:15:00,32.59,0.781
2024-01-02 20:30:00,31.02,0.852
2024-01-02 20:45:00,33.87,0.778
2024-01-02 21:00:00,31.95,0.769
2024-01-02 21:15:00,30.6,0.89
2024-01-02 21:30:00,30.45,0.775
2024-01-02 21:45:00,31.97,0.784
2024-01-02 22:00:00,31.36,0.77
2024-01-02 22:15:00,32.31,0.821
2024-01-02 22:30:00,32.15,0.888
2024-01-02 22:45:00,31.69,0.79
2024-01-02 23:00:00,31.02,0.831
2024-01-02 23:15:00,30.44,0.812
2024-01-02 23:30:00,31.53,0.8
2024-01-02 23:45:00,32.85,0.836
2024-01-03 00:00:00,32.3,0.834
2024-01-03 00:15:00,30.96,0.804
2024-01-03 00:30:00,32.4,0.878
2024-01-03 00:45:00,32.67,0.758
2024-01-03 01:00:00,31.51,0.763
2024-01-03 01:15:00,32.58,0.899
2024-01-03 01:30:00,32.55,0.862
2024-01-03 01:45:00,31.44,0.871
2024-01-03 02:00:00,32.96,0.84
2024-01-03 02:15:00,33.22,0.813
2024-01-03 02:30:00,33.79,0.844
2024-01-03 02:45:00,33.82,0.764
2024-01-03 03:00:00,31.47,0.864
2024-01-03 03:15:00,31.95,0.831
2024-01-03 03:30:00,33.43,0.894
2024-01-03 03:45:00,33.47,0.846
2024-01-03 04:00:00,33.5,0.773
2024-01-03 04:15:00,36.84,0.822
2024-01-03 04:30:00,33.62,0.759
2024-01-03 04:45:00,34.21,0.862
2024-01-03 05:00:00,34.05,0.825
2024-01-03 05:15:00,33.76,0.805
2024-01-03 05:30:00,32.81,0.895
2024-01-03 05:45:00,33.89,0.891
2024-01-03 06:00:00,32.37,0.893
2024-01-03 06:15:00,32.9,0.783
2024-01-03 06:30:00,32.64,0.859
2024-01-03 06:45:00,33.2,0.892
2024-01-03 07:00:00,36.55,0.836
2024-01-03 07:15:00,33.73,0.782
2024-01-03 07:30:00,38.06,0.873
2024-01-03 07:45:00,36.97,0.882
2024-01-03 08:00:00,39.84,0.92
2024-01-03 08:15:00,42.15,0.879
2024-01-03 08:30:00,41.29,0.869
2024-01-03 08:45:00,40.22,0.912
2024-01-03 09:00:00,40.98,0.898
2024-01-03 09:15:00,43.0,0.917
2024-01-03 09:30:00,41.41,0.861
2024-01-03 09:45:00,42.73,0.864
2024-01-03 10:00:00,42.55,0.886
2024-01-03 10:15:00,41.62,0.876
2024-01-03 10:30:00,45.06,0.912
2024-01-03 10:45:00,42.94,0.887
2024-01-03 11:00:00,39.34,0.918
2024-01-03 11:15:00,41.8,0.927
2024-01-03 11:30:00,40.39,0.869
2024-01-03 11:45:00,41.86,0.942
2024-01-03 12:00:00,37.42,0.929
2024-01-03 12:15:00,38.2,0.913
2024-01-03 12:30:00,38.91,0.941
2024-01-03 12:45:00,39.33,0.877
2024-01-03 13:00:00,38.56,0.892
2024-01-03 13:15:00,39.98,0.859
2024-01-03 13:30:00,40.19,0.896
2024-01-03 13:45:00,40.32,0.901
2024-01-03 14:00:00,43.66,0.912
2024-01-03 14:15:00,42.27,0.856
2024-01-03 14:30:00,40.43,0.853
2024-01-03 14:45:00,43.38,0.892
2024-01-03 15:00:00,45.07,0.869
2024-01-03 15:15:00,43.78,0.926
2024-01-03 15:30:00,40.55,0.917
2024-01-03 15:45:00,41.84,0.883
2024-01-03 16:00:00,43.98,0.855
2024-01-03 16:15:00,41.32,0.868
2024-01-03 16:30:00,42.57,0.919
2024-01-03 16:45:00,42.73,0.949
2024-01-03 17:00:00,40.31,0.883
2024-01-03 17:15:00,41.06,0.93
2024-01-03 17:30:00,36.8,0.937
2024-01-03 17:45:00,39.15,0.855
2024-01-03 18:00:00,37.01,0.887
2024-01-03 18:15:00,34.65,0.82
2024-01-03 18:30:00,36.39,0.895
2024-01-03 18:45:00,31.96,0.831
2024-01-03 19:00:00,30.68,0.785
2024-01-03 19:15:00,31.23,0.896
2024-01-03 19:30:00,32.48,0.786
2024-01-03 19:45:00,29.82,0.882
2024-01-03 20:00:00,32.28,0.776
2024-01-03 20:15:00,31.24,0.851
2024-01-03 20:30:00,30.35,0.812
2024-01-03 20:45:00,31.75,0.896
2024-01-03 21:00:00,31.55,0.778
2024-01-03 21:15:00,30.84,0.811
2024-01-03 21:30:00,31.53,0.846
2024-01-03 21:45:00,31.15,0.897
2024-01-03 22:00:00,31.68,0.796
2024-01-03 22:15:00,32.26,0.81
2024-01-03 22:30:00,33.2,0.819
2024-01-03 22:45:00,30.58,0.788
2024-01-03 23:00:00,33.86,0.873
2024-01-03 23:15:00,30.02,0.764
2024-01-03 23:30:00,31.81,0.856
2024-01-03 23:45:00,32.59,0.83
2024-01-04 00:00:00,32.37,0.786
2024-01-04 00:15:00,31.56,0.824
2024-01-04 00:30:00,32.03,0.874
2024-01-04 00:45:00,31.82,0.817
2024-01-04 01:00:00,31.79,0.768
2024-01-04 01:15:00,33.26,0.756
2024-01-04 01:30:00,32.84,0.867
2024-01-04 01:45:00,31.88,0.8
2024-01-04 02:00:00,33.49,0.89
2024-01-04 02:15:00,32.97,0.843
2024-01-04 02:30:00,33.53,0.815
2024-01-04 02:45:00,33.4,0.835
2024-01-04 03:00:00,32.01,0.819
2024-01-04 03:15:00,32.32,0.886
2024-01-04 03:30:00,33.66,0.819
2024-01-04 03:45:00,33.56,0.766
2024-01-04 04:00:00,32.97,0.84
2024-01-04 04:15:00,33.14,0.843
2024-01-04 04:30:00,34.32,0.865
2024-01-04 04:45:00,32.49,0.89
2024-01-04 05:00:00,33.64,0.816
2024-01-04 05:15:00,32.91,0.803
2024-01-04 05:30:00,32.91,0.824
2024-01-04 05:45:00,34.22,0.885
2024-01-04 06:00:00,33.95,0.897
2024-01-04 06:15:00,33.94,0.896
2024-01-04 06:30:00,34.42,0.784
2024-01-04 06:45:00,33.14,0.825
2024-01-04 07:00:00,34.87,0.789
2024-01-04 07:15:00,35.4,0.805
2024-01-04 07:30:00,37.66,0.755
2024-01-04 07:45:00,38.7,0.774
2024-01-04 08:00:00,40.53,0.89
2024-01-04 08:15:00,41.55,0.886
2024-01-04 08:30:00,40.2,0.878
2024-01-04 08:45:00,44.18,0.873
2024-01-04 09:00:00,40.62,0.925
2024-01-04 09:15:00,40.61,0.879
2024-01-04 09:30:00,43.8,0.921
2024-01-04 09:45:00,43.46,0.887
2024-01-04 10:00:00,43.29,0.93
2024-01-04 10:15:00,43.25,0.867
2024-01-04 10:30:00,42.32,0.866
2024-01-04 10:45:00,41.01,0.918
2024-01-04 11:00:00,41.98,0.941
2024-01-04 11:15:00,40.72,0.864
2024-01-04 11:30:00,42.41,0.857
2024-01-04 11:45:00,40.64,0.943
2024-01-04 12:00:00,37.38,0.862
2024-01-04 12:15:00,37.96,0.875
2024-01-04 12:30:00,38.81,0.943
2024-01-04 12:45:00,37.68,0.93
2024-01-04 13:00:00,39.01,0.884
2024-01-04 13:15:00,40.68,0.945
2024-01-04 13:30:00,41.07,0.907
2024-01-04 13:45:00,40.5,0.857
2024-01-04 14:00:00,40.88,0.92
2024-01-04 14:15:00,42.05,0.904
2024-01-04 14:30:00,40.19,0.907
2024-01-04 14:45:00,40.44,0.949
2024-01-04 15:00:00,41.46,0.865
2024-01-04 15:15:00,42.19,0.916
2024-01-04 15:30:00,42.89,0.896
2024-01-04 15:45:00,44.34,0.877
2024-01-04 16:00:00,43.46,0.919
2024-01-04 16:15:00,42.02,0.917
2024-01-04 16:30:00,41.99,0.936
2024-01-04 16:45:00,40.5,0.938
2024-01-04 17:00:00,41.44,0.906
2024-01-04 17:15:00,40.77,0.883
2024-01-04 17:30:00,41.16,0.903
2024-01-04 17:45:00,39.38,0.886
2024-01-04 18:00:00,37.87,0.792
2024-01-04 18:15:00,37.65,0.833
2024-01-04 18:30:00,34.58,0.849
2024-01-04 18:45:00,33.8,0.839
2024-01-04 19:00:00,31.73,0.893
2024-01-04 19:15:00,30.74,0.795
2024-01-04 19:30:00,31.34,0.806
2024-01-04 19:45:00,31.17,0.85
2024-01-04 20:00:00,31.29,0.84
2024-01-04 20:15:00,30.51,0.75
2024-01-04 20:30:00,31.29,0.797
2024-01-04 20:45:00,31.78,0.788
2024-01-04 21:00:00,32.72,0.876
2024-01-04 21:15:00,32.31,0.88
2024-01-04 21:30:00,33.49,0.793
2024-01-04 21:45:00,30.79,0.765
2024-01-04 22:00:00,32.4,0.781
2024-01-04 22:15:00,31.81,0.776
2024-01-04 22:30:00,33.78,0.786
2024-01-04 22:45:00,30.99,0.785
2024-01-04 23:00:00,31.02,0.822
2024-01-04 23:15:00,31.32,0.798
2024-01-04 23:30:00,29.92,0.834
2024-01-04 23:45:00,31.52,0.802
2024-01-05 00:00:00,31.36,0.872
2024-01-05 00:15:00,32.31,0.893
2024-01-05 00:30:00,32.56,0.811
2024-01-05 00:45:00,34.12,0.757
2024-01-05 01:00:00,33.29,0.786
2024-01-05 01:15:00,31.87,0.765
2024-01-05 01:30:00,31.62,0.802
2024-01-05 01:45:00,33.03,0.847
2024-01-05 02:00:00,31.32,0.828
2024-01-05 02:15:00,34.47,0.786
2024-01-05 02:30:00,33.89,0.865
2024-01-05 02:45:00,32.32,0.77
2024-01-05 03:00:00,31.14,0.784
2024-01-05 03:15:00,34.21,0.851
2024-01-05 03:30:00,32.81,0.78
2024-01-05 03:45:00,34.18,0.852
2024-01-05 04:00:00,31.42,0.897
2024-01-05 04:15:00,32.43,0.875
2024-01-05 04:30:00,33.06,0.774
2024-01-05 04:45:00,33.13,0.828
2024-01-05 05:00:00,32.65,0.813
2024-01-05 05:15:00,33.73,0.899
2024-01-05 05:30:00,32.06,0.895
2024-01-05 05:45:00,32.99,0.769
2024-01-05 06:00:00,33.25,0.886
2024-01-05 06:15:00,33.64,0.779
2024-01-05 06:30:00,33.83,0.798
2024-01-05 06:45:00,32.0,0.803
2024-01-05 07:00:00,32.6,0.793
2024-01-05 07:15:00,37.1,0.878
2024-01-05 07:30:00,37.66,0.799
2024-01-05 07:45:00,37.98,0.873
2024-01-05 08:00:00,42.29,0.949
2024-01-05 08:15:00,40.96,0.934
2024-01-05 08:30:00,42.67,0.885
2024-01-05 08:45:00,41.65,0.921
2024-01-05 09:00:00,44.47,0.903
2024-01-05 09:15:00,44.36,0.929
2024-01-05 09:30:00,42.02,0.865
2024-01-05 09:45:00,43.69,0.914
2024-01-05 10:00:00,43.31,0.927
2024-01-05 10:15:00,44.19,0.926
2024-01-05 10:30:00,41.11,0.946
2024-01-05 10:45:00,43.01,0.856
2024-01-05 11:00:00,43.21,0.885
2024-01-05 11:15:00,39.37,0.898
2024-01-05 11:30:00,39.75,0.881
2024-01-05 11:45:00,38.32,0.881
2024-01-05 12:00:00,38.02,0.868
2024-01-05 12:15:00,39.16,0.931
2024-01-05 12:30:00,40.06,0.941
2024-01-05 12:45:00,38.42,0.858
2024-01-05 13:00:00,41.95,0.865
2024-01-05 13:15:00,38.71,0.873
2024-01-05 13:30:00,38.68,0.901
2024-01-05 13:45:00,41.06,0.929
2024-01-05 14:00:00,41.94,0.857
2024-01-05 14:15:00,41.72,0.914
2024-01-05 14:30:00,39.41,0.865
2024-01-05 14:45:00,42.11,0.947
2024-01-05 15:00:00,40.71,0.94
2024-01-05 15:15:00,43.31,0.945
2024-01-05 15:30:00,42.96,0.861
2024-01-05 15:45:00,41.26,0.899
2024-01-05 16:00:00,41.72,0.867
2024-01-05 16:15:00,40.88,0.91
2024-01-05 16:30:00,41.94,0.873
2024-01-05 16:45:00,42.96,0.927
2024-01-05 17:00:00,40.24,0.914
2024-01-05 17:15:00,41.75,0.907
2024-01-05 17:30:00,40.12,0.933
2024-01-05 17:45:00,39.43,0.9
2024-01-05 18:00:00,37.17,0.79
2024-01-05 18:15:00,34.88,0.843
2024-01-05 18:30:00,34.12,0.894
2024-01-05 18:45:00,32.19,0.84
2024-01-05 19:00:00,32.92,0.844
2024-01-05 19:15:00,31.14,0.89
2024-01-05 19:30:00,30.48,0.827
2024-01-05 19:45:00,31.36,0.899
2024-01-05 20:00:00,31.09,0.774
2024-01-05 20:15:00,31.02,0.831
2024-01-05 20:30:00,31.85,0.782
2024-01-05 20:45:00,32.02,0.818
2024-01-05 21:00:00,30.86,0.776
2024-01-05 21:15:00,30.87,0.783
2024-01-05 21:30:00,31.2,0.782
2024-01-05 21:45:00,29.34,0.798
2024-01-05 22:00:00,30.14,0.77
2024-01-05 22:15:00,32.93,0.871
2024-01-05 22:30:00,33.26,0.783
2024-01-05 22:45:00,31.52,0.812
2024-01-05 23:00:00,32.38,0.752
2024-01-05 23:15:00,32.19,0.766
2024-01-05 23:30:00,34.91,0.884
2024-01-05 23:45:00,33.1,0.876
2024-01-06 00:00:00,31.56,0.876
2024-01-06 00:15:00,30.82,0.812
2024-01-06 00:30:00,30.26,0.771
2024-01-06 00:45:00,32.04,0.766
2024-01-06 01:00:00,31.17,0.841
2024-01-06 01:15:00,30.58,0.874
2024-01-06 01:30:00,31.38,0.885
2024-01-06 01:45:00,31.01,0.793
2024-01-06 02:00:00,33.72,0.798
2024-01-06 02:15:00,32.99,0.765
2024-01-06 02:30:00,32.18,0.866
2024-01-06 02:45:00,33.66,0.791
2024-01-06 03:00:00,32.34,0.822
2024-01-06 03:15:00,31.47,0.889
2024-01-06 03:30:00,33.82,0.863
2024-01-06 03:45:00,32.89,0.758
2024-01-06 04:00:00,31.39,0.751
2024-01-06 04:15:00,32.24,0.868
2024-01-06 04:30:00,31.59,0.833
2024-01-06 04:45:00,31.12,0.858
2024-01-06 05:00:00,33.38,0.774
2024-01-06 05:15:00,34.36,0.881
2024-01-06 05:30:00,31.14,0.866
2024-01-06 05:45:00,33.06,0.884
2024-01-06 06:00:00,31.88,0.801
2024-01-06 06:15:00,32.03,0.791
2024-01-06 06:30:00,31.93,0.773
2024-01-06 06:45:00,31.65,0.89
2024-01-06 07:00:00,32.53,0.777
2024-01-06 07:15:00,31.66,0.768
2024-01-06 07:30:00,32.71,0.779
2024-01-06 07:45:00,32.38,0.866
2024-01-06 08:00:00,32.28,0.883
2024-01-06 08:15:00,31.78,0.872
2024-01-06 08:30:00,32.27,0.834
2024-01-06 08:45:00,33.74,0.899
2024-01-06 09:00:00,33.63,0.76
2024-01-06 09:15:00,32.29,0.88
2024-01-06 09:30:00,33.49,0.814
2024-01-06 09:45:00,34.26,0.818
2024-01-06 10:00:00,31.91,0.769
2024-01-06 10:15:00,34.21,0.755
2024-01-06 10:30:00,33.05,0.797
2024-01-06 10:45:00,34.33,0.776
2024-01-06 11:00:00,32.99,0.823
2024-01-06 11:15:00,31.92,0.772
2024-01-06 11:30:00,32.07,0.771
2024-01-06 11:45:00,33.71,0.882
2024-01-06 12:00:00,33.85,0.888
2024-01-06 12:15:00,32.59,0.895
2024-01-06 12:30:00,34.03,0.852
2024-01-06 12:45:00,31.61,0.866
2024-01-06 13:00:00,33.07,0.875
2024-01-06 13:15:00,31.79,0.849
2024-01-06 13:30:00,32.19,0.8
2024-01-06 13:45:00,32.72,0.773
2024-01-06 14:00:00,30.46,0.786
2024-01-06 14:15:00,30.86,0.876
2024-01-06 14:30:00,32.11,0.854
2024-01-06 14:45:00,30.59,0.818
2024-01-06 15:00:00,31.87,0.754
2024-01-06 15:15:00,30.0,0.79
2024-01-06 15:30:00,31.51,0.859
2024-01-06 15:45:00,32.33,0.827
2024-01-06 16:00:00,28.66,0.815
2024-01-06 16:15:00,30.19,0.797
2024-01-06 16:30:00,31.45,0.841
2024-01-06 16:45:00,30.7,0.895
2024-01-06 17:00:00,31.22,0.885
2024-01-06 17:15:00,30.3,0.755
2024-01-06 17:30:00,30.93,0.822
2024-01-06 17:45:00,30.7,0.799
2024-01-06 18:00:00,31.93,0.827
2024-01-06 18:15:00,31.08,0.841
2024-01-06 18:30:00,31.17,0.78
2024-01-06 18:45:00,30.48,0.867
2024-01-06 19:00:00,30.42,0.821
2024-01-06 19:15:00,30.49,0.899
2024-01-06 19:30:00,31.28,0.754
2024-01-06 19:45:00,30.54,0.778
2024-01-06 20:00:00,31.23,0.853
2024-01-06 20:15:00,32.92,0.854
2024-01-06 20:30:00,31.83,0.837
2024-01-06 20:45:00,30.75,0.896
2024-01-06 21:00:00,32.21,0.812
2024-01-06 21:15:00,30.75,0.813
2024-01-06 21:30:00,29.27,0.887
2024-01-06 21:45:00,30.27,0.831
2024-01-06 22:00:00,29.51,0.803
2024-01-06 22:15:00,30.98,0.858
2024-01-06 22:30:00,31.38,0.843
2024-01-06 22:45:00,32.99,0.796
2024-01-06 23:00:00,31.77,0.795
2024-01-06 23:15:00,31.31,0.809
2024-01-06 23:30:00,32.36,0.761
2024-01-06 23:45:00,29.53,0.891
2024-01-07 00:00:00,31.9,0.777
2024-01-07 00:15:00,32.47,0.779
2024-01-07 00:30:00,30.38,0.847
2024-01-07 00:45:00,32.93,0.859
2024-01-07 01:00:00,32.22,0.861
2024-01-07 01:15:00,31.55,0.806
2024-01-07 01:30:00,32.6,0.881
2024-01-07 01:45:00,34.23,0.832
2024-01-07 02:00:00,32.27,0.816
2024-01-07 02:15:00,32.38,0.872
2024-01-07 02:30:00,31.74,0.787
2024-01-07 02:45:00,31.41,0.879
2024-01-07 03:00:00,33.07,0.831
2024-01-07 03:15:00,31.47,0.885
2024-01-07 03:30:00,32.41,0.78
2024-01-07 03:45:00,31.91,0.89
2024-01-07 04:00:00,32.86,0.853
2024-01-07 04:15:00,32.75,0.843
2024-01-07 04:30:00,33.46,0.813
2024-01-07 04:45:00,31.97,0.893
2024-01-07 05:00:00,32.22,0.817
2024-01-07 05:15:00,31.54,0.825
2024-01-07 05:30:00,32.07,0.867
2024-01-07 05:45:00,32.88,0.793
2024-01-07 06:00:00,33.25,0.794
2024-01-07 06:15:00,31.61,0.866
2024-01-07 06:30:00,33.35,0.769
2024-01-07 06:45:00,33.82,0.873
2024-01-07 07:00:00,32.89,0.844
2024-01-07 07:15:00,34.29,0.831
2024-01-07 07:30:00,31.69,0.784
2024-01-07 07:45:00,31.21,0.868
2024-01-07 08:00:00,30.78,0.871
2024-01-07 08:15:00,34.14,0.822
2024-01-07 08:30:00,33.48,0.808
2024-01-07 08:45:00,32.93,0.787
2024-01-07 09:00:00,33.41,0.863
2024-01-07 09:15:00,32.15,0.846
2024-01-07 09:30:00,35.84,0.781
2024-01-07 09:45:00,33.63,0.869
2024-01-07 10:00:00,33.7,0.882
2024-01-07 10:15:00,34.4,0.759
2024-01-07 10:30:00,34.2,0.866
2024-01-07 10:45:00,33.97,0.878
2024-01-07 11:00:00,32.96,0.899
2024-01-07 11:15:00,34.22,0.786
2024-01-07 11:30:00,35.62,0.806
2024-01-07 11:45:00,35.02,0.895
2024-01-07 12:00:00,35.2,0.764
2024-01-07 12:15:00,32.99,0.829
2024-01-07 12:30:00,32.4,0.826
2024-01-07 12:45:00,33.14,0.841
2024-01-07 13:00:00,33.19,0.8
2024-01-07 13:15:00,34.07,0.889
2024-01-07 13:30:00,31.17,0.791
2024-01-07 13:45:00,34.17,0.847
2024-01-07 14:00:00,31.11,0.824
2024-01-07 14:15:00,30.82,0.79
2024-01-07 14:30:00,30.23,0.778
2024-01-07 14:45:00,29.58,0.893
2024-01-07 15:00:00,31.86,0.834
2024-01-07 15:15:00,31.12,0.841
2024-01-07 15:30:00,29.82,0.867
2024-01-07 15:45:00,29.78,0.762
2024-01-07 16:00:00,30.65,0.857
2024-01-07 16:15:00,32.48,0.775
2024-01-07 16:30:00,30.67,0.861
2024-01-07 16:45:00,29.5,0.771
2024-01-07 17:00:00,30.65,0.875
2024-01-07 17:15:00,30.61,0.852
2024-01-07 17:30:00,28.36,0.808
2024-01-07 17:45:00,30.8,0.804
2024-01-07 18:00:00,30.63,0.772
2024-01-07 18:15:00,31.49,0.886
2024-01-07 18:30:00,32.57,0.768
2024-01-07 18:45:00,31.91,0.821
2024-01-07 19:00:00,30.63,0.785
2024-01-07 19:15:00,29.87,0.899
2024-01-07 19:30:00,33.3,0.838
2024-01-07 19:45:00,30.99,0.772
2024-01-07 20:00:00,30.97,0.85
2024-01-07 20:15:00,30.96,0.899
2024-01-07 20:30:00,31.2,0.841
2024-01-07 20:45:00,30.92,0.819
2024-01-07 21:00:00,30.56,0.794
2024-01-07 21:15:00,30.62,0.764
2024-01-07 21:30:00,31.14,0.784
2024-01-07 21:45:00,30.71,0.833
